year,city_0,city_1
2024,245249,101384
2025,245608,100640
2026,245858,99854
2027,245985,99033
2028,246014,98177
2029,245925,97310
2030,245722,96429
2031,245423,95530
2032,245014,94628
2033,244484,93722
2034,243872,92822
2035,243145,91935
2036,242299,91049
2037,241360,90175
2038,240315,89323
2039,239175,88475
2040,237936,87649
2041,236609,86808
2042,235193,85976
2043,233676,85150
2044,232088,84330
2045,230413,83501
2046,228652,82676
2047,226821,81848
2048,224908,81016
2049,222940,80181
2050,220922,79346
2051,218828,78493
2052,216661,77642
2053,214434,76781
2054,212136,75921
2055,209767,75059
2056,207344,74195
2057,204882,73339
2058,202385,72478
2059,199845,71637
2060,197294,70816
2061,194713,70029
2062,192139,69247
2063,189551,68460
2064,186926,67686
2065,184297,66927
2066,181687,66201
2067,179093,65495
2068,176511,64814
2069,173923,64135
2070,171331,63474
2071,168729,62818
2072,166125,62178
2073,163521,61544
2074,160914,60932
2075,158309,60326
2076,155714,59726
2077,153123,59131
2078,150528,58545
2079,147925,57960
2080,145318,57373
2081,142722,56796
2082,140144,56234
2083,137580,55674
2084,135072,55129
2085,132621,54598
2086,130212,54078
2087,127846,53567
2088,125510,53060
2089,123220,52569
2090,120977,52080
2091,118774,51595
2092,116650,51138
2093,114574,50697
2094,112532,50261
2095,110518,49842
2096,108530,49440
2097,106570,49059
2098,104629,48696
2099,102701,48330
2100,100756,47990
